"index","product_id","price","average_units_sold"
"0","6","16.2","24"
"1","8","15.77","28"
"2","9","11.57","30"
"3","10","13.94","27"
"4","11","9.26","26"
"5","14","11.92","30"
"6","16","10.79","23"
"7","19","13.62","26"
"8","20","13.03","22"
"9","23","13.07","22"
"10","24","10.98","23"
"11","25","12.81","24"
"12","28","13.01","20"
"13","31","13.11","20"
"14","41","8.63","27"
"15","42","12.56","24"
"16","47","12.86","20"
"17","50","12.75","22"
"18","52","15.87","27"
"19","53","15.99","23"
"20","57","14.37","26"
"21","58","11.11","23"
"22","62","16.09","26"
"23","64","8.37","26"
"24","65","15.89","27"
"25","66","15.87","27"
"26","71","15.78","23"
"27","77","16.34","25"
"28","79","12.86","23"
"29","80","16.03","24"
"30","82","16.11","28"
"31","84","14.63","26"
"32","90","14.64","27"
"33","91","13.58","26"
"34","97","13.84","26"
"35","98","13.14","22"
"36","102","11.12","22"
"37","106","10.81","23"
"38","108","15.77","23"
"39","113","14.4","26"
"40","115","11.06","23"
"41","116","8.87","26"
"42","123","12.9","22"
"43","124","15.87","26"
"44","125","12.84","23"
"45","126","11.72","24"
"46","129","11.48","30"
"47","137","16.1","25"
"48","138","11.79","31"
"49","140","16.05","24"
"50","141","12.82","20"
"51","149","16.12","25"
"52","151","8.81","26"
"53","152","13","22"
"54","154","16.98","27"
"55","160","13.41","24"
"56","161","11.54","23"
"57","163","12.05","30"
"58","165","12.89","30"
"59","166","13.17","22"
"60","171","12.9","22"
"61","172","12.87","20"
"62","173","8.91","27"
"63","175","16.09","25"
"64","176","15.81","27"
"65","177","16.15","24"
"66","182","13.88","26"
"67","185","12.88","23"
"68","187","15.81","25"
"69","189","12.92","31"
"70","191","13.05","24"
"71","192","14.28","28"
"72","197","12.75","20"
"73","198","12.32","30"
"74","199","15.66","27"
"75","201","16.84","27"
"76","206","16.02","25"
"77","207","16.04","27"
"78","212","11.09","22"
"79","213","16.59","24"
"80","216","13.33","23"
"81","217","15.97","27"
"82","219","10.86","22"
"83","227","13.43","23"
"84","229","12.04","25"
"85","232","16.01","25"
"86","234","11.06","23"
"87","238","12.64","20"
"88","240","13.75","27"
"89","241","13.36","21"
"90","242","14.12","25"
"91","246","15.84","25"
"92","248","13.01","24"
"93","249","10.16","27"
"94","250","11.17","22"
"95","254","14.02","26"
"96","256","16.02","24"
"97","258","16.12","26"
"98","259","11.49","23"
"99","261","10.51","22"
"100","263","14.39","26"
"101","264","15.88","24"
"102","266","10.94","22"
"103","270","8.43","26"
"104","271","16.08","23"
"105","274","16.07","26"
"106","275","11.1","23"
"107","280","12.26","30"
"108","287","13.37","23"
"109","289","16.22","25"
"110","291","13.6","26"
"111","292","15.27","26"
"112","293","9.07","22"
"113","296","12.86","23"
"114","297","11.86","30"
"115","300","10.75","23"
"116","301","14.24","27"
"117","303","11.95","30"
"118","307","12.52","31"
"119","308","8.95","22"
"120","310","16.15","24"
"121","312","12.85","24"
"122","313","8.97","26"
"123","314","11.15","22"
"124","318","8.93","26"
"125","319","16.17","26"
"126","321","14.26","26"
"127","325","16.01","26"
"128","327","15.88","24"
"129","328","16.12","26"
"130","332","11.13","22"
"131","333","11.85","30"
"132","335","15.91","25"
"133","337","12.99","22"
"134","340","16.09","25"
"135","341","13.12","20"
"136","342","8.83","22"
"137","345","11","23"
"138","348","8.73","27"
"139","349","15.62","23"
"140","354","13.06","24"
"141","356","15.98","27"
"142","357","12.71","30"
"143","358","15.8","23"
"144","361","15.99","26"
"145","362","15.89","26"
"146","364","8.57","26"
"147","365","12.74","23"
"148","369","10.9","23"
"149","371","10.41","22"
"150","377","9.16","22"
"151","380","12.83","24"
"152","384","9.25","28"
"153","385","13.56","27"
"154","387","13.08","23"
"155","390","16.06","27"
"156","393","12.81","22"
"157","394","10.77","22"
"158","395","16.05","27"
"159","400","12.68","23"
"160","401","12.95","22"
"161","413","12.82","23"
"162","419","12.84","22"
"163","420","16.01","27"
"164","422","12.99","20"
"165","430","12.87","23"
"166","431","15.78","23"
"167","433","12.79","20"
"168","434","13.36","20"
"169","438","16.03","26"
"170","439","10.9","23"
"171","440","13.12","22"
"172","448","12.79","20"
"173","461","10.62","23"
"174","462","12.7","20"
"175","464","10.96","22"
"176","465","16.02","23"
"177","466","9.01","27"
"178","469","16.03","28"
"179","470","8.93","22"
"180","474","9.68","27"
"181","478","10.88","22"
"182","479","13.04","24"
"183","480","12.1","31"
"184","485","15.87","27"
"185","487","15.77","27"
"186","493","15.69","23"
"187","495","15.89","24"
"188","497","11.05","23"
"189","499","15.93","27"
"190","503","16.4","27"
"191","504","9.2","26"
"192","507","9.05","22"
"193","510","12.38","31"
"194","512","16.01","26"
"195","513","14.04","26"
"196","519","16.03","27"
"197","520","12.93","23"
"198","525","13.7","26"
"199","526","13.77","27"
"200","1056","16.1","25"
"201","528","10.82","23"
"202","533","13.06","22"
"203","534","16.46","27"
"204","537","10.73","23"
"205","538","15.97","24"
"206","545","13.14","30"
"207","549","13.81","26"
"208","551","12.61","20"
"209","552","10.9","22"
"210","555","11.81","30"
"211","556","10.53","23"
"212","558","16.44","27"
"213","561","8.68","26"
"214","562","11.41","23"
"215","564","16.13","27"
"216","565","11.34","23"
"217","568","11.36","22"
"218","570","13.09","22"
"219","572","15.89","25"
"220","575","14.63","26"
"221","576","16.27","25"
"222","579","12.77","23"
"223","580","12.88","23"
"224","582","11.94","25"
"225","583","13.86","26"
"226","585","15.85","24"
"227","587","13.15","20"
"228","591","12.98","22"
"229","593","16.08","27"
"230","594","13.14","22"
"231","597","13.48","23"
"232","599","16.29","27"
"233","600","13.58","26"
"234","602","15.69","27"
"235","603","11.88","22"
"236","607","13.88","25"
"237","610","13.89","26"
"238","611","16","27"
"239","614","10.68","22"
"240","615","11.16","23"
"241","616","8.53","26"
"242","617","12.82","24"
"243","618","13.02","22"
"244","619","16.17","24"
"245","623","14.12","26"
"246","624","12.9","22"
"247","631","12.05","25"
"248","637","13.28","20"
"249","641","15.98","27"
"250","645","8.42","26"
"251","646","15.98","27"
"252","647","15.99","26"
"253","648","13.44","23"
"254","649","16.17","23"
"255","651","16.05","23"
"256","652","13.52","26"
"257","653","11.68","22"
"258","657","12.94","22"
"259","658","14.38","26"
"260","663","14.51","26"
"261","665","15.9","26"
"262","667","10.71","23"
"263","671","8.84","27"
"264","675","14.1","26"
"265","680","10.92","24"
"266","681","14.71","27"
"267","682","13.96","26"
"268","688","15.81","28"
"269","690","15.66","28"
"270","691","15.96","25"
"271","697","15.81","24"
"272","703","15.81","27"
"273","704","16.15","25"
"274","705","8.78","22"
"275","711","12.84","22"
"276","712","15.82","27"
"277","713","11.84","22"
"278","714","14.06","26"
"279","715","10.78","23"
"280","718","12.87","23"
"281","720","15.97","27"
"282","722","8.62","26"
"283","724","12.94","20"
"284","725","13.06","22"
"285","726","9.06","22"
"286","732","16.24","26"
"287","733","11.76","31"
"288","737","11.39","22"
"289","740","8.65","26"
"290","743","9.01","27"
"291","744","11.11","22"
"292","746","11.36","22"
"293","749","11.1","22"
"294","752","12.54","30"
"295","753","12.03","25"
"296","755","14.45","26"
"297","758","13.02","22"
"298","761","8.83","27"
"299","763","12.42","30"
"300","765","13.56","27"
"301","766","14.03","26"
"302","769","13.97","20"
"303","770","9.17","26"
"304","772","8.73","26"
"305","784","10.67","23"
"306","785","16.01","28"
"307","788","11.08","23"
"308","790","11.14","23"
"309","792","11.07","23"
"310","794","14.27","26"
"311","799","13.98","27"
"312","802","13.73","26"
"313","803","10.4","23"
"314","804","12.1","31"
"315","808","13.85","26"
"316","811","11.64","30"
"317","812","12.09","30"
"318","813","16.12","25"
"319","814","13.85","26"
"320","816","12.5","30"
"321","818","10.84","23"
"322","821","9.09","26"
"323","823","16.17","28"
"324","827","15.97","25"
"325","829","16.12","25"
"326","835","13.96","27"
"327","836","16","25"
"328","837","13.16","22"
"329","838","16.07","25"
"330","841","13.4","20"
"331","842","16.13","27"
"332","844","12.84","20"
"333","845","14.25","26"
"334","846","10.84","23"
"335","849","15.86","25"
"336","851","13.07","24"
"337","853","12.92","24"
"338","854","13.12","22"
"339","858","16.04","26"
"340","861","12.74","20"
"341","862","15.76","27"
"342","863","12.96","20"
"343","864","9.03","22"
"344","866","14.48","26"
"345","867","13.55","27"
"346","868","15.8","24"
"347","872","16.9","27"
"348","873","13.82","27"
"349","875","12.81","22"
"350","883","16.01","27"
"351","884","8.66","26"
"352","885","16.03","25"
"353","891","12.85","20"
"354","892","16.12","26"
"355","894","13.73","27"
"356","895","14.65","26"
"357","896","13.8","26"
"358","903","16.06","24"
"359","907","10.79","22"
"360","909","14.35","26"
"361","910","16.15","26"
"362","912","13.09","22"
"363","915","16.31","27"
"364","917","16.38","27"
"365","922","15.96","24"
"366","924","9.18","26"
"367","925","12.14","30"
"368","931","8.83","26"
"369","932","15.98","23"
"370","933","8.75","26"
"371","935","15.87","26"
"372","938","15.67","27"
"373","942","12.59","23"
"374","944","13.63","26"
"375","947","12.79","20"
"376","956","13.12","23"
"377","959","8.92","22"
"378","960","10.79","22"
"379","963","11.19","22"
"380","970","13.68","26"
"381","972","10.78","23"
"382","973","15.69","28"
"383","979","16.16","26"
"384","984","16.08","26"
"385","986","13.54","26"
"386","987","14.02","27"
"387","988","15.91","26"
"388","989","15.68","28"
"389","991","14.91","26"
"390","992","15.67","24"
"391","994","8.41","26"
"392","996","12","31"
"393","1000","10.89","22"
"394","1003","8.89","27"
"395","1006","8.74","26"
"396","1008","16.48","27"
"397","1012","14.61","26"
"398","1013","11.69","22"
"399","1018","15.85","26"
"400","1021","15.79","27"
"401","1030","11.38","23"
"402","1033","16.11","24"
"403","1034","13.96","26"
"404","1036","9.04","22"
"405","1042","16.13","26"
"406","1043","13.05","23"
"407","1046","14.05","26"
"408","1048","12.88","22"
"409","1050","12.33","22"
"410","1054","16.11","25"
"411","1055","13.51","24"
"412","1058","13.42","20"
"413","1059","13.92","26"
"414","1066","14.13","27"
"415","1067","13.93","26"
"416","1070","12.72","20"
"417","1071","10.84","24"
"418","1072","16.6","23"
"419","1073","10.99","23"
"420","1076","13.88","27"
"421","1078","14.22","26"
"422","1079","14.01","26"
"423","1081","13.64","26"
"424","1082","11.78","22"
"425","1087","12.78","22"
"426","1088","15.87","28"
"427","1089","15.96","25"
"428","1090","16.09","27"
"429","1092","13.19","20"
"430","1094","12.97","20"
"431","1095","10.52","22"
"432","1096","8.6","26"
"433","1097","16.52","24"
"434","1103","15.94","25"
"435","1104","13.39","25"
"436","1106","13.21","22"
"437","1109","11.45","23"
"438","1110","11.21","23"
"439","1112","13.21","22"
"440","1114","10.64","23"
"441","1118","16.06","23"
"442","1122","15.8","28"
"443","1123","14.43","26"
"444","1125","15.99","27"
"445","1127","13.72","27"
"446","1128","16.07","25"
"447","1130","12.51","22"
"448","1132","12.36","23"
"449","1133","11.16","23"
"450","1134","14.11","26"
"451","1136","14.26","27"
"452","1137","12.19","31"
"453","1138","12.87","20"
"454","1139","10.64","23"
"455","1143","10.86","22"
"456","1147","13.46","26"
"457","1149","16.01","25"
"458","1150","16.15","27"
"459","1151","12.11","30"
"460","1156","13.14","22"
"461","1159","16.34","28"
"462","1160","13.13","22"
"463","1163","16.09","26"
"464","1165","13.16","22"
"465","1166","13.25","20"
"466","1167","14.43","27"
"467","1168","9.11","26"
"468","1169","13.08","20"
"469","1171","15.89","24"
"470","1173","14.28","26"
"471","1174","15.91","23"
"472","1175","12.3","30"
"473","1178","10.81","23"
"474","1179","11.39","23"
"475","1184","9.63","26"
"476","1185","13.59","26"
"477","1186","16.21","24"
"478","1187","16.06","26"
"479","1190","13.1","22"
"480","1193","11.31","22"
"481","1197","16.09","28"
"482","1198","12","30"
"483","1199","14.44","27"
"484","1200","9.14","22"
"485","1203","14.24","25"
"486","1212","12.48","30"
"487","1213","16.09","28"
"488","1215","9","22"
"489","1217","12.03","26"
"490","1219","15.98","27"
"491","1221","15.86","27"
"492","1223","13.17","22"
"493","1224","10.57","23"
"494","1226","15.99","27"
"495","1231","12.58","20"
"496","1234","12.79","23"
"497","1238","13.91","29"
"498","1239","16.33","23"
"499","1243","13.15","22"
"500","1244","11.86","25"
"501","1245","16.08","25"
"502","1246","15.87","27"
"503","1247","12.84","22"
"504","1248","16.1","25"
"505","1249","16.05","25"
"506","1250","14.31","26"
"507","1252","13.37","24"
"508","1255","16.14","26"
"509","1257","15.83","24"
"510","1259","15.98","25"
"511","1261","8.92","22"
"512","1265","13.98","27"
"513","1268","11.36","23"
"514","1269","13.22","23"
"515","1272","12.85","20"
"516","1277","13.83","27"
"517","1278","13.65","26"
"518","1281","11.95","25"
"519","1285","13.67","27"
"520","1288","15.97","26"
"521","1291","13.9","26"
"522","1300","12.91","23"
"523","1301","15.88","24"
"524","1304","16.07","27"
"525","1305","15.86","23"
"526","1307","15.86","23"
"527","1309","15.72","27"
"528","1310","16.1","26"
"529","1311","13.35","20"
"530","1313","15.86","27"
"531","1316","16.2","26"
"532","1317","14.08","26"
"533","1318","16.04","27"
"534","1319","13.95","26"
"535","1323","12.97","22"
"536","1324","9.04","22"
"537","1325","8.63","27"
"538","1326","14.42","26"
"539","1327","12.01","30"
"540","1331","13.29","20"
"541","1333","13.05","22"
"542","1335","12.93","24"
"543","1336","13.22","20"
"544","1338","14.7","27"
"545","1339","13.19","22"
"546","1342","13.17","22"
"547","1346","15.83","26"
"548","1350","12.8","22"
"549","1352","14.22","27"
"550","1353","16.04","27"
"551","1355","11.68","30"
"552","1356","10.51","23"
"553","1357","16.44","27"
"554","1361","8.61","27"
"555","1362","14.33","26"
"556","1364","10.64","22"
"557","1366","15.55","24"
"558","1367","11.73","22"
"559","1376","16.16","24"
"560","1377","13.37","20"
"561","1378","11.37","22"
"562","1379","10.71","23"
"563","1382","16.1","27"
"564","1384","15.78","24"
"565","1388","12.97","20"
"566","1394","13.59","24"
"567","1395","16.11","27"
"568","1397","15.73","23"
"569","1400","15.55","27"
"570","1403","9.15","26"
"571","1404","8.54","26"
"572","1405","12.61","20"
"573","1407","9.16","28"
"574","1408","10.67","23"
"575","1409","12.92","23"
"576","1410","14.02","27"
"577","1411","12.76","23"
"578","1418","15.83","24"
"579","1420","13.6","27"
"580","1421","16.03","25"
"581","1424","8.61","26"
"582","1425","12.87","20"
"583","1426","13.1","23"
"584","1429","15.94","26"
"585","1431","9.5","26"
"586","1433","8.79","22"
"587","1434","9.15","26"
"588","1436","10.91","23"
"589","1443","11.15","23"
"590","1446","13.01","22"
"591","1450","13.39","23"
"592","1454","8.47","26"
"593","1455","10.6","23"
"594","1458","14.43","26"
"595","1459","15.93","25"
"596","1461","11.91","23"
"597","1464","14.16","25"
"598","1468","15.77","28"
"599","1470","13.72","27"
"600","1473","13.69","20"
"601","1475","10.9","23"
"602","1477","12.44","22"
"603","1479","12.94","22"
"604","1481","12.97","22"
"605","1483","15.91","25"
"606","1490","12.95","22"
"607","1492","15.86","26"
"608","1495","15.99","26"
"609","1498","9.08","22"
"610","1499","12.37","30"
"611","1500","14.78","27"
"612","1501","16.58","27"
"613","1503","13.02","24"
"614","1505","8.94","22"
"615","1506","12.84","24"
"616","1507","14.88","26"
"617","1509","11.21","23"
"618","1511","12.88","20"
"619","1513","15.95","25"
"620","1514","16.08","27"
"621","1517","13.01","22"
"622","1520","11.08","23"
"623","1521","13.04","22"
"624","1523","13.93","26"
"625","1525","14.07","26"
"626","1530","15.96","23"
"627","1532","13.77","26"
"628","1535","16.11","25"
"629","1537","14.07","25"
"630","1540","9.1","26"
"631","1543","16.05","26"
"632","1544","12.96","22"
"633","1545","11.85","26"
"634","1546","15.89","23"
"635","1547","12.96","20"
"636","1548","8.79","26"
"637","1552","13.49","27"
"638","1554","16.02","24"
"639","1555","13.38","20"
"640","1559","13.11","23"
"641","1561","13.05","20"
"642","1563","10.17","26"
"643","1564","16.2","26"
"644","1574","15.87","27"
"645","1575","11.27","22"
"646","1588","13.18","24"
"647","1589","11.66","26"
"648","1590","9.55","26"
"649","1598","12.87","23"
"650","1599","16.1","26"
"651","1600","14.11","27"
"652","1601","8.65","27"
"653","1604","12.81","20"
"654","1607","12.62","22"
"655","1614","11.53","22"
"656","1615","15.9","23"
"657","1617","15.92","25"
"658","1619","14.04","28"
"659","1622","16.05","26"
"660","1623","11.69","22"
"661","1625","8.9","22"
"662","1626","14.1","26"
"663","1628","13.58","23"
"664","1629","8.33","26"
"665","1634","16.55","24"
"666","1636","13.67","26"
"667","1638","8.53","26"
"668","1639","16.39","28"
"669","1642","15.96","25"
"670","1644","13.11","23"
"671","1645","12.99","22"
"672","1646","12.87","23"
"673","1647","13.16","22"
"674","1648","13.11","22"
"675","1649","8.81","27"
"676","1652","16.14","26"
"677","1654","11.11","22"
"678","1655","9.2","27"
"679","1657","15.86","25"
"680","1658","14.46","26"
"681","1660","11.98","30"
"682","1661","14.24","26"
"683","1663","13.05","22"
"684","1666","13.14","22"
"685","1667","15.91","26"
"686","1669","15.99","24"
"687","1670","16","24"
"688","1680","14.44","26"
"689","1684","13.47","24"
"690","1686","16.07","25"
"691","1689","12.92","24"
"692","1693","15.98","28"
"693","1694","16","25"
